,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL,PARKCODE
13274,1988,238,454,796,"1,448","10,729","25,009","38,498","34,382","15,445","10,999",537,159,"138,694",TICA
13275,1987,339,427,709,"1,771","11,251","27,272","36,404","34,977","16,146","7,017",734,232,"137,279",TICA
13276,1986,179,321,"1,171",992,"8,384","24,739","37,144","34,788","11,639","4,153",618,282,"124,410",TICA
13277,1985,96,57,230,"1,475","9,935","26,677","34,758","35,666","14,478","4,510",557,183,"128,622",TICA
13278,1984,56,51,158,532,"6,673","21,233","34,842","32,853","16,913","6,036",272,69,"119,688",TICA
13279,1983,126,91,181,355,"3,809","9,539","35,266","29,391","14,387","4,770",509,51,"98,475",TICA
13280,1982,106,248,480,720,"8,154","23,813","30,002","27,484","9,924","3,188",421,90,"104,630",TICA
13281,1981,256,222,336,"1,844","8,462","24,027","30,673","27,003","10,855",304,391,124,"104,497",TICA
13282,1980,225,159,603,"1,801","8,249","23,218","30,192","27,031","10,353","4,550",450,210,"107,041",TICA
13283,1979,163,279,594,"1,584","12,415","26,171","35,297","28,878","13,256","5,647",460,336,"125,080",TICA
13284,2023,"114,117","130,478","336,226","450,819","514,283","564,036","561,026","458,449","491,799","504,584","284,978","212,443","4,623,238",ZION
13285,2022,"139,827","168,499","446,308","491,625","539,172","569,975","548,636","437,134","423,654","459,697","291,044","176,846","4,692,417",ZION
13286,2021,"172,747","160,232","429,455","469,775","610,301","675,799","581,496","466,928","483,180","469,379","308,560","211,983","5,039,835",ZION
13287,2020,"126,994","133,718","207,400","40,396","178,194","377,425","449,518","450,183","520,987","559,342","319,853","227,244","3,591,254",ZION
13288,2019,"98,828","102,269","296,316","372,349","529,553","594,896","629,802","535,322","497,443","429,604","230,180","171,706","4,488,268",ZION
13289,2018,"107,960","127,790","373,523","483,487","500,118","541,464","500,350","459,415","481,507","377,826","218,799","147,794","4,320,033",ZION
13290,2017,"88,561","110,569","345,476","515,652","509,017","533,252","576,349","529,684","512,940","422,377","222,069","138,866","4,504,812",ZION
13291,2016,"84,145","117,510","359,920","395,768","447,976","544,890","599,961","477,507","497,825","412,916","232,271","124,438","4,295,127",ZION
13292,2015,"78,318","106,314","291,118","392,417","400,048","458,546","479,538","455,487","394,201","314,966","180,390","97,503","3,648,846",ZION
13293,2014,"70,862","74,625","226,424","312,381","391,969","397,753","407,153","391,973","340,855","304,108","169,607","101,986","3,189,696",ZION
13294,2013,"56,972","64,994","227,899","292,765","313,594","367,217","379,129","345,014","339,593","203,056","141,251","75,903","2,807,387",ZION
13295,2012,"68,202","74,382","165,242","352,192","343,488","370,280","392,359","364,857","355,140","276,134","140,350","70,981","2,973,607",ZION
13296,2011,"64,524","67,801","164,037","255,813","325,089","376,453","391,144","360,196","324,727","273,876","145,158","76,687","2,825,505",ZION
13297,2010,"54,928","62,099","171,079","277,599","304,278","331,185","362,881","332,796","319,838","236,316","143,272","69,701","2,665,972",ZION
13298,2009,"60,204","62,964","167,246","271,709","296,330","366,004","368,933","372,157","306,161","265,095","132,998","65,601","2,735,402",ZION
13299,2008,"56,137","62,044","187,814","242,778","302,002","354,527","360,046","368,739","312,606","254,187","126,588","62,686","2,690,154",ZION
13300,2007,"68,640","71,530","176,622","286,701","281,149","333,005","338,116","337,824","314,290","253,572","129,962","65,870","2,657,281",ZION
13301,2006,"71,680","70,170","144,186","264,821","277,849","325,124","347,105","337,212","298,587","235,952","128,339","66,325","2,567,350",ZION
13302,2005,"63,566","70,260","195,530","230,366","283,547","339,849","347,745","340,826","298,465","227,570","118,083","70,858","2,586,665",ZION
13303,2004,"67,913","81,970","190,919","297,906","295,304","326,499","337,145","338,899","323,156","227,332","113,626","76,673","2,677,342",ZION
13304,2003,"71,233","72,781","143,284","244,910","304,556","308,634","294,996","312,162","280,970","229,992","119,860","75,414","2,458,792",ZION
13305,2002,"55,866","66,575","158,518","279,225","301,163","329,355","347,541","322,920","312,931","229,989","112,489","75,973","2,592,545",ZION
13306,2001,"61,795","53,960","95,231","207,864","210,707","323,759","321,920","344,531","261,476","179,932","105,821","50,783","2,217,779",ZION
13307,2000,"80,141","73,390","126,843","220,905","239,579","341,054","341,050","331,474","289,827","232,685","105,733","49,667","2,432,348",ZION
13308,1999,"73,220","69,337","122,668","218,059","218,639","298,448","335,012","373,744","309,215","237,279","124,086","69,957","2,449,664",ZION
13309,1998,"70,167","62,429","112,119","201,553","230,959","325,129","318,876","359,490","284,343","229,844","112,117","63,022","2,370,048",ZION
13310,1997,"65,244","68,431","128,143","230,390","226,370","326,154","333,883","367,010","304,847","230,274","104,605","60,183","2,445,534",ZION
13311,1996,"58,277","70,136","126,044","237,607","238,705","339,727","340,812","372,426","310,840","239,701","102,777","60,949","2,498,001",ZION
13312,1995,"60,215","70,317","119,841","189,511","202,000","337,268","363,645","377,107","312,443","224,457","119,920","53,438","2,430,162",ZION
13313,1994,"60,598","55,083","103,289","205,846","198,731","304,478","326,536","361,394","295,720","221,345","90,568","47,283","2,270,871",ZION
13314,1993,"52,236","50,599","106,142","206,549","220,669","335,945","348,106","376,382","290,893","258,341","92,657","54,061","2,392,580",ZION
13315,1992,"55,002","58,579","81,606","138,140","257,471","338,363","353,454","415,549","318,549","225,259","89,896","58,758","2,390,626",ZION
13316,1991,"54,687","64,780","71,951","131,160","255,396","336,422","349,020","362,064","278,614","208,030","80,061","44,812","2,236,997",ZION
13317,1990,"54,093","48,346","77,423","154,762","237,277","316,983","308,335","340,603","257,272","166,148","98,844","42,314","2,102,400",ZION
13318,1989,"33,534","38,254","94,224","132,387","235,179","300,330","304,532","321,244","248,105","163,695","86,055","41,317","1,998,856",ZION
13319,1988,"38,333","46,684","65,640","129,748","208,323","308,566","305,583","314,482","262,166","157,715","71,847","39,245","1,948,332",ZION
13320,1987,"35,783","37,091","57,095","117,924","203,914","267,237","296,526","300,993","231,095","131,044","61,714","37,203","1,777,619",ZION
13321,1986,"35,763","35,919","80,728","92,993","246,440","252,715","261,818","269,267","194,138","110,052","50,783","39,887","1,670,503",ZION
13322,1985,"23,339","30,716","54,763","95,748","201,599","229,265","253,508","253,802","182,744","100,050","44,125","33,613","1,503,272",ZION
13323,1984,"21,848","26,463","48,492","89,509","160,492","231,037","232,872","226,230","174,514","102,092","42,409","21,296","1,377,254",ZION
13324,1983,"18,578","24,133","36,086","75,772","183,803","201,746","227,243","202,119","154,567","90,204","37,866","20,913","1,273,030",ZION
13325,1982,"15,445","20,958","38,731","72,295","146,438","221,168","252,010","196,725","140,672","85,304","32,936","23,608","1,246,290",ZION
13326,1981,"24,349","22,594","35,058","63,036","132,198","221,905","233,041","262,514","150,219","86,905","34,820","22,169","1,288,808",ZION
13327,1980,"15,637","17,832","32,537","58,225","134,747","175,129","212,492","212,223","136,648","75,312","32,542","20,522","1,123,846",ZION
13328,1979,"8,994","12,106","23,079","63,306","122,964","156,734","168,614","187,461","173,883","77,131","29,139","17,117","1,040,528",ZION
13329,2023,"2,150","2,436","3,103","2,899","5,325","7,396","8,739","11,527","10,212","13,048","3,364", ,"70,199",MABI
13330,2022,"1,242","2,187","1,687","2,082","3,266","6,546","9,671","9,889","8,923","13,832","3,000","1,631","63,956",MABI
13331,2021,"1,260","1,401","1,407","1,858","2,690","4,424","5,204","8,041","8,863","9,500","1,718","1,631","47,997",MABI
13332,2020,"1,514","1,525","1,505","1,500","1,500","2,000","2,762","2,249","2,483","3,000","1,500","2,000","23,538",MABI
13333,2019,"1,356","1,604","1,748","1,489","3,275","5,663","6,661","7,104","6,076","7,341","2,092","1,570","45,979",MABI
13334,2018,"1,448","1,635","1,505","2,113","3,332","7,259","10,311","11,268","9,696","10,729","2,900","1,690","63,886",MABI
13335,2017,"1,460","1,771",939,"2,018","3,010","5,311","6,879","8,015","6,157","6,836","2,680","1,447","46,523",MABI
13336,2016,"2,216","1,248","2,744","3,452","4,681","5,733","7,243","7,368","7,646","8,674","2,921","1,790","55,716",MABI
13337,2015,"2,029","1,884","1,162",850,"1,270","3,750","6,231","4,837","5,495","6,083",790,622,"35,003",MABI
13338,2014,"1,965","1,809",997,"1,057","2,642","6,558","6,231","4,837","5,495","6,083",790,622,"39,086",MABI
13339,2013,"2,176","2,002","1,083","1,134","1,211","5,268","5,553","4,770","4,965","4,579","1,031",340,"34,112",MABI
13340,2012,"1,765","1,371","1,109",897,"1,379","3,759","5,006","3,918","5,479","6,319",821,580,"32,403",MABI
13341,2011,"1,788","1,623","1,253",651,"1,711","3,327","4,009","3,520","3,623","6,064",734,746,"29,049",MABI
13342,2010,"1,590","1,065","1,867",809,"1,531","3,448","4,724","4,179","4,515","5,924",790,767,"31,209",MABI
13343,2009,"1,775",986,"1,984",792,967,"2,890","3,668","5,053","5,384","5,991",641,998,"31,129",MABI
13344,2008,"1,942","3,173",866,905,"1,142","3,855","4,795","6,265","4,655","7,996",805,722,"37,121",MABI
13345,2007,389,694,529,316,916,"3,677","5,186","7,650","3,996","7,494",673,659,"32,179",MABI
13346,2006,227,272,381,236,717,"2,392","4,530","2,833","3,944","5,326",870,756,"22,484",MABI
13347,2005,621,709,394,200,"1,598","3,577","4,410","4,902","5,052","5,618",869,710,"28,660",MABI
13348,2004,602,522,191,122,"1,518","2,359","3,766","8,074","3,869","6,608",829,745,"29,205",MABI
13349,2003,837,749,528,128,"1,739","2,285","5,199","7,367","6,456","6,275",760,714,"33,037",MABI
13350,2002,442,747,520,583,"1,402","3,042","3,355","6,603","4,195","4,689",859,"5,503","31,940",MABI
13351,2001,363,801,479,395,"1,391","3,398","2,777","4,057","5,249","5,863",853,724,"26,350",MABI
13352,2000,235,"4,349","3,205",845,394,"2,628","9,043","7,912","7,889","8,030",528,"1,231","46,289",MABI
13353,1999,809,"1,115","3,730","1,678",651,"4,380","6,371","8,062","5,663","9,454","1,219","1,832","44,964",MABI
13354,1998, , , , , ,"3,958","4,890","5,065","3,875","3,083",371,"1,410","22,652",MABI
13355,2023,"1,953","2,956","6,232","12,495","13,183","12,287","11,766","7,241","7,236","8,827","4,900","2,887","91,963",APCO
13356,2022,915,"2,351","5,027","12,360","9,888","11,437","10,852","7,764","8,454","8,029","4,045","2,361","83,483",APCO
13357,2021,"4,388","2,476","7,044","8,155","9,568","12,632","15,391","8,845","7,786","9,369","4,460","2,536","92,650",APCO
13358,2020,"2,782","3,649","3,221","1,500","3,540","6,360","6,574","6,454","6,196","5,897","6,874","4,466","57,513",APCO
13359,2019,116,"2,284","5,725","14,285","13,468","14,108","14,600","10,358","10,634","8,820","4,811","3,188","102,397",APCO
13360,2018,"1,532","2,588","6,067","12,237","13,633","19,680","14,484","10,603","8,311","8,760","4,640",509,"103,044",APCO
13361,2017,983,"2,243","5,233","14,087","12,309","17,615","15,640","14,730","11,906","10,654","5,518","3,042","113,960",APCO
13362,2016,"3,831","4,723","26,491","32,714","33,602","40,858","45,410","31,201","28,784","31,181","16,475","7,869","303,139",APCO
13363,2015,"4,603","3,497","14,118","141,819","45,075","43,243","47,805","34,417","30,186","29,340","11,981","6,556","412,640",APCO
13364,2014,"3,883","3,026","12,859","35,419","37,288","34,846","43,560","33,693","26,271","29,061","12,636","6,234","278,776",APCO
13365,2013,"5,058","5,075","18,604","38,996","49,874","45,141","49,764","37,720","32,444","14,450","14,552","5,982","317,660",APCO
13366,2012,"7,859","5,035","16,702","42,007","42,328","43,385","45,354","33,108","31,277","29,091","17,574","6,948","320,668",APCO
13367,2011,"3,636","4,722","14,778","40,180","29,151","22,413","31,464","34,269","27,932","29,833","14,327","6,212","258,917",APCO
13368,2010,"3,443","2,925","13,638","33,294","27,693","20,430","30,810","20,421","19,331","26,338","12,716","5,181","216,220",APCO
13369,2009,"3,700","4,946","12,815","18,202","28,245","18,940","27,126","18,259","18,994","18,000","11,474","4,742","185,443",APCO
13370,2008,"3,436","4,127","9,396","13,305","21,918","18,855","22,348","14,645","13,055","17,721","11,654","28,288","178,748",APCO
13371,2007,"3,444","2,990","7,702","16,338","19,589","19,387","22,571","15,600","17,881","12,975","7,295","3,483","149,255",APCO
13372,2006,"8,432","3,781","7,160","15,034","17,305","19,162","21,351","13,392","14,395","11,966","6,737","7,089","145,804",APCO
13373,2005,"2,688","3,306","7,578","18,064","17,419","18,840","21,963","15,120","11,920","10,781","5,591","3,557","136,827",APCO
13374,2004,"3,196","3,841","8,328","15,632","26,848","20,050","21,367","15,941","12,136","14,731","6,765","3,618","152,453",APCO
13375,2003,"3,180","2,066","7,774","16,963","17,741","20,948","22,424","19,056","18,849","14,406","8,114","3,510","155,031",APCO
13376,2002,"3,109","4,311","9,439","21,584","23,790","23,899","23,763","21,759","18,016","16,276","7,454","3,819","177,219",APCO
13377,2001,"3,323","5,013","8,843","21,767","25,066","26,321","29,235","22,507","15,983","17,960","9,558","4,846","190,422",APCO
13378,2000,"3,194","4,732","9,654","20,566","21,043","28,009","32,663","24,032","18,649","21,770","8,664","3,387","196,363",APCO
13379,1999,"3,754","4,779","7,966","21,690","27,105","28,932","29,371","24,592","18,035","19,140","8,943","4,358","198,665",APCO
13380,1998,"4,086","4,811","9,875","20,605","22,188","26,658","30,566","25,173","20,925","22,010","9,600","5,377","201,874",APCO
13381,1997,"3,577","5,569","11,228","19,444","25,784","27,734","30,019","27,793","18,957","20,731","9,379","4,647","204,862",APCO
13382,1996,"2,304","3,582","9,832","24,490","24,878","27,456","32,581","27,350","19,451","21,010","8,146","4,858","205,938",APCO
13383,1995,"4,060","4,935","11,335","29,514","27,393","29,604","35,743","27,215","22,129","22,732","6,960","1,668","223,288",APCO
13384,1994,"4,017","5,694","12,995","25,810","32,844","33,003","43,647","35,622","23,459","33,909","13,860","8,908","273,768",APCO
13385,1993,"7,258","7,628","11,609","15,693","20,761","27,365","38,402","34,907","13,573","19,832","8,470","6,059","211,557",APCO
13386,1992,"7,463","9,736","17,693","32,050","37,642","37,297","45,661","41,085","26,967","36,020","13,153","7,154","311,921",APCO
13387,1991,"7,938","9,517","21,922","34,524","38,500","36,178","41,865","33,845","31,522","41,036","14,569","10,252","321,668",APCO
13388,1990,"8,098","8,844","18,115","53,067","39,174","52,654","66,389","48,808","31,282","46,319","19,953","10,244","402,947",APCO
13389,1989,"8,007","6,494","20,082","29,670","44,572","51,857","63,590","53,919","33,485","44,001","16,356","5,407","377,440",APCO
13390,1988,"5,454","7,570","16,093","32,441","39,338","39,771","44,647","37,794","24,602","38,917","17,347","8,719","312,693",APCO
13391,1987,"4,491","5,421","15,680","23,861","36,117","47,144","57,637","51,662","29,513","41,865","14,407","8,277","336,075",APCO
13392,1986,"5,112","5,125","14,943","23,191","31,908","39,999","55,202","56,141","28,107","39,343","16,027","8,686","323,784",APCO
13393,1985,"3,727","5,403","13,798","26,169","33,401","30,782","52,543","30,911","24,393","29,682","11,190","15,614","277,613",APCO
13394,1984,"4,566","5,400","12,542","32,022","34,559","47,030","58,248","51,069","25,505","29,568","10,713","6,805","318,027",APCO
13395,1983,"4,307","3,978","13,975","19,924","26,360","35,745","38,495","34,162","22,598","27,910","13,470","5,353","246,277",APCO
13396,1982,"1,786","3,693","9,931","26,026","28,660","29,519","36,905","36,510","23,510","26,607","11,392","5,866","240,405",APCO
13397,1981,"3,891","4,563","10,285","19,831","26,810","30,675","39,120","38,627","25,264","29,103","11,153","5,646","244,968",APCO
13398,1980,"3,209","3,855","9,752","18,674","24,138","29,396","37,508","36,375","17,511","23,853","10,223","4,230","218,724",APCO
13399,1979,"4,011","3,998","10,890","20,773","21,395","27,614","34,499","31,246","16,314","22,506","8,817","6,348","208,411",APCO
13400,2023,"10,946","14,103","48,964","64,225","61,837","60,745","46,276","34,550","7,136","38,238","26,142","6,064","419,226",ARHO
13401,2022,794,"3,864","26,514","41,264","41,217","51,784","36,444","26,578","21,456","29,085","16,738","10,948","306,686",ARHO
13402,2021,0,0,0,0,0,531,716,716,693,716,693,716,"4,781",ARHO
13403,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,ARHO
13404,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,ARHO
13405,2018,"11,000","11,000","27,500",0,0,0,0,0,0,0,0,0,"49,500",ARHO
13406,2017,"91,592","88,125","61,740","71,872","82,745","69,579","62,022","46,268","40,621","50,962","38,114","22,419","726,059",ARHO
13407,2016,"11,520","65,007","67,212","95,971","105,233","102,536","103,645","102,536","104,854","103,649","101,602","93,735","1,057,500",ARHO
13408,2015,"9,852","5,207","55,138","67,570","79,827","71,646","71,646","45,180","29,540","41,668","32,762","22,014","532,050",ARHO
13409,2014,"9,111","12,534","46,735","116,462","105,059","98,864","75,394","54,685","49,636","44,404","32,736","26,018","671,638",ARHO
13410,2013,"23,372","23,090","83,528","87,454","79,637","74,315","58,986","41,060","36,888","21,091","35,588","21,522","586,531",ARHO
13411,2012,"10,021","11,438","49,469","78,494","80,230","74,334","56,687","41,117","45,915","55,002","40,250","19,815","562,772",ARHO
13412,2011,"11,127","13,750","50,248","50,248","82,859","89,180","78,969","53,664","37,321","50,355","40,850","18,245","576,816",ARHO
13413,2010,"13,014","7,937","56,588","84,472","81,169","85,803","78,594","78,594","39,925","47,240","36,403","17,837","627,576",ARHO
13414,2009,"11,349","14,066","45,593","85,899","89,323","61,965","96,070","48,640","47,977","52,410","32,520","17,961","603,773",ARHO
13415,2008,"11,816","16,861","68,809","54,823","59,937","67,099","61,218","47,029","36,136","46,379","29,471","18,937","518,515",ARHO
13416,2007,"13,962","13,884","48,725","48,322","51,227","59,122","66,794","51,873","35,662","35,624","24,730","16,765","466,690",ARHO
13417,2006,"13,053","15,808","51,891","57,289","68,790","59,675","57,470","47,018","35,662","47,323","31,489","24,054","509,522",ARHO
13418,2005,"12,418","16,429","47,575","58,859","59,794","64,393","66,057","42,198","37,084","42,939","32,196","18,611","498,553",ARHO
13419,2004,"9,801","16,359","44,837","65,600","64,406","59,010","60,793","48,553","32,331","43,436","31,139","16,566","492,831",ARHO
13420,2003,"9,518","7,729","36,300","47,409","43,181","50,288","48,359","36,268","19,654","36,744","27,981","15,257","378,688",ARHO
13421,2002,"10,781","18,043","49,816","59,597","58,828","40,643","44,240","43,175","26,761","27,954","22,010","14,683","416,531",ARHO
13422,2001,"14,386","20,031","66,012","58,175","65,485","55,924","29,682","28,249","23,899","27,800","21,615","18,212","429,470",ARHO
13423,2000,"9,807","14,468","43,758","63,212","50,325","29,060","28,830","26,946","27,111","41,791","27,168","14,535","377,011",ARHO
13424,1999,"12,997","19,159","48,095","79,686","66,592","66,328","57,005","35,296","29,160","29,323","19,142","14,128","476,911",ARHO
13425,1998,"12,410","15,069","44,000","60,189","60,870","63,647","67,553","58,765","34,841","45,846","31,950","16,060","511,200",ARHO
13426,1997,"11,523","13,540","41,199","52,929","46,915","42,967","48,329","45,619","32,363","51,656","26,360","14,947","428,347",ARHO
13427,1996,"3,274","9,408","32,387","60,158","50,474","53,665","54,821","53,120","27,731","30,744","19,491","13,870","409,143",ARHO
13428,1995,"15,160","17,081","51,526","77,015","59,143","64,358","74,668","74,050","45,758","46,683","26,457","7,610","559,509",ARHO
13429,1994,"6,738","12,196","34,972","67,954","49,834","65,665","74,731","57,849","36,549","38,723","26,496","22,341","494,048",ARHO
13430,1993,"17,141","15,802","33,410","72,324","57,441","64,980","63,215","65,183","31,119","31,847","28,111","15,953","496,526",ARHO
13431,1992,"11,678","15,947","35,938","66,020","51,439","59,335","52,958","51,622","36,506","37,507","23,431","17,279","459,660",ARHO
13432,1991,"13,653","24,091","51,334","57,813","54,678","56,566","70,451","49,638","31,565","31,261","23,392","18,998","483,440",ARHO
13433,1990,"9,772","13,934","27,763","55,997","46,060","54,325","70,451","58,287","43,363","34,254","30,102","19,159","463,467",ARHO
13434,1989,"15,219","15,393","35,347","58,419","55,007","48,949","53,940","63,510","32,208","29,853","22,155","9,009","439,009",ARHO
13435,1988,"10,318","13,931","35,756","64,260","49,839","55,488","78,584","59,589","41,473","37,038","27,116","19,639","493,031",ARHO
13436,1987,"7,983","15,057","34,360","64,666","50,284","70,658","78,584","65,700","30,292","28,674","21,632","13,231","481,121",ARHO
13437,1986,"9,277","10,164","35,541","55,919","50,854","78,569","71,220","66,861","30,926","30,148","26,038","16,029","481,546",ARHO
13438,1985,"9,744","14,348","30,479","67,577","54,148","68,393","78,948","71,080","31,837","37,261","18,603","14,430","496,848",ARHO
13439,1984,"7,124","12,571","26,145","74,569","50,623","98,433","137,640","100,485","52,010","36,269","23,582","16,297","635,748",ARHO
13440,1983,"8,930","10,915","42,406","62,264","51,224","71,704","86,573","76,424","32,740","36,280","22,506","12,897","514,863",ARHO
13441,1982,"4,657","11,661","27,887","67,121","52,989","79,026","86,566","81,980","35,492","29,967","21,715","12,921","511,982",ARHO
13442,1981,"9,680","13,640","6,380","15,320","14,267","66,017","53,251","51,633","48,708","29,162","17,943","10,592","336,593",ARHO
13443,1980,"7,600","11,442","41,815","88,384","62,770","54,239","51,009","75,020","30,720","32,309","18,566","10,490","484,364",ARHO
13444,1979,"6,731","7,912","35,110","96,296","65,651","46,115","41,359","54,690","36,368","35,137","21,690","12,287","459,346",ARHO
13445,2023,940,"1,220","2,491","2,196","4,374","3,772","3,213","2,808","1,855","2,793","1,935","1,116","28,713",BOWA
13446,2022,829,761,"1,313","2,069","2,285","2,340","2,519","2,454","1,222","2,245","1,287","1,072","20,396",BOWA
13447,2021,"1,139",460,"1,418","2,005","1,599","1,980","2,445","1,959","1,785","1,507","1,722",944,"18,963",BOWA
13448,2020,814,986,"1,707",0,115,"2,084","1,670","2,426","5,180","3,778","2,478","1,244","22,482",BOWA
13449,2019,85,"1,316","1,808","2,399","2,034","3,380","2,917","2,589","1,438","3,111","1,485","2,078","24,640",BOWA
13450,2018,682,"1,047","1,599","2,372","1,903","2,733","3,429","2,424","1,560","2,661","1,602",720,"22,732",BOWA
13451,2017,588,"1,549","1,570","2,192","2,702","3,765","3,424","2,307","2,686","2,006","1,969",721,"25,479",BOWA
13452,2016,785,822,"1,456","2,030","3,034","2,505","2,872","2,401","2,585","2,048","1,960",942,"23,440",BOWA
13453,2015,"1,495",971,"1,689","1,883","3,250","5,664","3,491","3,328","1,254","1,981","1,190","1,009","27,205",BOWA
13454,2014,659,"1,396","1,746","2,126","2,120","3,464","3,778","2,155","2,059","2,741","2,533","1,350","26,127",BOWA
13455,2013,885,864,"1,499","2,246","2,661","2,927","3,019","2,488","1,928","1,125","1,360","1,101","22,103",BOWA
13456,2012,803,"1,182","2,015","2,120","2,667","3,252","2,789","2,030","3,244","1,816","1,382","1,061","24,361",BOWA
13457,2011,669,"1,174","2,036","1,888","2,519","3,496","3,020","2,233","2,493","2,268","1,452",782,"24,030",BOWA
13458,2010,528,565,"1,800","2,152","2,666","2,966","2,966","2,342","1,892","1,846","1,271",671,"21,665",BOWA
13459,2009,686,899,"1,159","2,141","2,339","2,945","3,197","2,506","1,767","2,117",845,615,"21,216",BOWA
13460,2008,714,698,"2,285","1,728","2,581","2,490","2,246","1,915","1,700","1,711","1,132",790,"19,990",BOWA
13461,2007,755,606,"1,673","2,067","2,032","2,588","2,385","1,927","1,524","1,827","1,373",653,"19,410",BOWA
13462,2006,569,601,"1,392","1,981","1,789","2,296","2,962","1,764",875,"1,736","1,744",630,"18,339",BOWA
13463,2005,375,360,"1,219","1,569","2,039","2,314","1,795","2,119","1,251","1,566","1,064",686,"16,357",BOWA
13464,2004,411,599,"1,096","1,957","2,323","2,689","2,387","1,855","1,052","1,625","1,726",793,"18,513",BOWA
13465,2003,484,386,"1,121","1,695","2,626","2,560","2,748","1,603","1,249","1,626","1,200",608,"17,906",BOWA
13466,2002,478,814,986,"1,669","3,436","2,304","2,687","1,946","1,461","1,707",971,729,"19,188",BOWA
13467,2001,622,"1,127","1,326","3,030","3,487","2,672","2,915","2,469","1,499","1,797","1,102",646,"22,692",BOWA
13468,2000,360,935,"1,261","2,380","3,053","2,604","3,330","2,069","1,154","2,771","1,013",505,"21,435",BOWA
13469,1999,363,772,"1,363","2,619","3,405","3,051","2,992","2,501","1,250","2,389","1,186",732,"22,623",BOWA
13470,1998,471,563,"1,160","1,672","2,583","2,241","2,578","2,069","1,495","2,731","1,028",635,"19,226",BOWA
13471,1997,470,573,720,"2,077","3,014","2,368","2,655","2,428","1,441","1,955",884,587,"19,172",BOWA
13472,1996,202,485,"1,157","2,133","2,460","2,452","3,500","3,020","1,939","1,914",552,320,"20,134",BOWA
13473,1995,616,923,"1,554","2,486","2,887","3,425","4,314","4,043","2,155","2,759",372,170,"25,704",BOWA
13474,1994,396,426,"1,549","1,885","2,928","3,525","3,850","4,384","2,216","2,934","1,304",813,"26,210",BOWA
13475,1993,592,"1,016","1,944","2,446","2,983","2,917","4,443","3,317","1,546","2,918","1,225",547,"25,894",BOWA
13476,1992,468,"1,070","1,086","1,783","2,812","3,992","4,814","3,835","1,798","2,882",855,588,"25,983",BOWA
13477,1991,795,517,810,"1,372","3,033","3,037","3,678","2,901","1,760","1,639",919,426,"20,887",BOWA
13478,1990,557,"1,273","1,345","1,854","3,001","4,223","3,743","3,112","2,103","1,801","1,188",860,"25,060",BOWA
13479,1989,615,452,"1,258","1,464","1,969","3,099","2,071","2,577",983,"2,204",700,179,"17,571",BOWA
13480,1988,487,"1,350",904,"2,177","3,529","2,833","2,517","2,482","1,269","1,556",481,485,"20,070",BOWA
13481,1987,508,650,"1,121","1,546","3,040","3,031","3,257","3,517","1,162","1,589",757,410,"20,588",BOWA
13482,1986,510,480,"1,307","2,377","2,946","2,066","2,878","3,556","2,178","1,501",826,234,"20,859",BOWA
13483,1985,186,436,"1,176","2,174","4,010","2,785","3,729","2,067","1,306",975,599,201,"19,644",BOWA
13484,1984,395,"1,103",961,"1,754","2,839","3,248","5,842","3,451","1,737","2,191",955,496,"24,972",BOWA
13485,1983,436,577,993,"1,848","3,221","3,483","3,965","3,183","2,016","1,899",945,441,"23,007",BOWA
13486,1982,238,407,745,"1,722","2,581","3,149","3,625","3,076","1,918","1,555",869,576,"20,461",BOWA
13487,1981,326,521,845,"2,089","2,984","2,238","3,855","3,076","1,476","1,069",694,701,"19,874",BOWA
13488,1980,617,606,858,"1,506","2,995","3,366","4,700","3,172","1,203","1,489",651,412,"21,575",BOWA
13489,1979,500,310,940,"1,528","3,604","3,043","6,065","3,868","1,377","2,033","1,564",675,"25,507",BOWA
13490,2023,"133,937","106,990","271,232","311,335","254,885","261,577","278,998","269,663","257,042","256,984","145,848", ,"2,548,491",COLO
13491,2022,"132,518","108,854","273,880","286,326","295,075","265,837","278,243","264,914","250,170","246,443","186,900","173,113","2,762,273",COLO
13492,2021,"135,923","103,870","270,566","305,467","330,060","315,751","349,190","323,696","310,439","304,847","192,628","171,983","3,114,420",COLO
13493,2020,"136,621","106,978","280,516","333,703","281,443","261,241","239,615","307,596","320,749","319,247","186,900","171,985","2,946,594",COLO
13494,2019,"136,446","107,039","285,752","340,954","328,825","365,948","389,391","361,274","321,973","322,718","193,094","173,854","3,327,268",COLO
13495,2018,"136,446","106,456","280,516","333,703","324,434","364,086","388,694","361,008","320,749","319,247","186,900","171,985","3,294,224",COLO
13496,2017,"136,468","107,266","286,101","341,825","331,169","367,268","389,821","361,673","321,345","323,000","193,498","174,014","3,333,448",COLO
13497,2016,"136,581","107,444","285,541","341,299","330,418","367,848","397,021","368,873","321,345","325,833","195,346","175,107","3,352,656",COLO
13498,2015,"137,701","106,662","281,139","340,424","330,316","367,671","396,495","368,474","321,708","323,432","195,337","174,550","3,343,909",COLO
13499,2014,"136,538","107,270","284,815","340,040","330,262","367,272","396,495","368,474","321,254","322,345","187,963","172,332","3,335,060",COLO
13500,2013,"119,042","127,407","314,654","318,234","301,731","338,334","365,886","307,959","319,974","285,525","195,739","174,246","3,168,731",COLO
